Unnamed: 0,date,title,id,topic,url,drucksache,drucksache_referenz
0,2024-12-19,Gesetzentwurf zur Änderung von Artikel 93 und 94 des Grundgesetzes (Bundesverfassungsgericht),939,Geschäftsordnung,/parlament/plenum/abstimmung/abstimmung?id=939,"['https://dserver.bundestag.de/btd/20/129/2012977.pdf', 'https://dserver.bundestag.de/btd/20/143/2014302.pdf']","['276076', '277864']"
1,2024-12-16,Antrag gemäß Artikel 68 des Grundgesetzes (Vertrauensfrage),938,Parlament,/parlament/plenum/abstimmung/abstimmung?id=938,['https://dserver.bundestag.de/btd/20/141/2014150.pdf'],['277683']
2,2024-10-18,Änderungsantrag zur „Verbesserung der inneren Sicherheit“,929,Inneres,/parlament/plenum/abstimmung/abstimmung?id=929,"['https://dserver.bundestag.de/btd/20/128/2012805.pdf', 'https://dserver.bundestag.de/btd/20/134/2013413.pdf', 'https://dserver.bundestag.de/btd/20/134/2013424.pdf']","['275840', '276659', '276673']"
3,2024-10-18,Artikel 5 des Entwurfs „Verbesserung der inneren Sicherheit“ (2. Beratung),930,Inneres,/parlament/plenum/abstimmung/abstimmung?id=930,"['https://dserver.bundestag.de/btd/20/128/2012805.pdf', 'https://dserver.bundestag.de/btd/20/134/2013413.pdf']","['275840', '276659']"
4,2024-10-18,Gesetzentwurf „Verbesserung der Terrorismusbekämpfung“,931,Inneres,/parlament/plenum/abstimmung/abstimmung?id=931,"['https://dserver.bundestag.de/btd/20/128/2012806.pdf', 'https://dserver.bundestag.de/btd/20/134/2013413.pdf']","['275841', '276659']"
